标题： 【少年谢尔顿】反思录 	 链接：http://tieba.baidu.com//p/5560673195 	 发帖人：玺子 	 发帖时间：2-22 	 回复数量： 1 
标题： wow 生活大爆炸晚上开播 	 链接：http://tieba.baidu.com//p/3310130848 	 发帖人：g35981 	 发帖时间：2014-09 	 回复数量： 29 
标题： 为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 链接：http://tieba.baidu.com//p/5017387510 	 发帖人：絮灵儿 	 发帖时间：2017-03 	 回复数量： 29 
标题： 前两周没有更新吗？ 	 链接：http://tieba.baidu.com//p/5565164541 	 发帖人：优雅先生M 	 发帖时间：2-25 	 回复数量： 2 
标题： 克莱尔妹纸这胸 	 链接：http://tieba.baidu.com//p/5563836730 	 发帖人：耳朵Moonpie 	 发帖时间：2-24 	 回复数量： 12 
标题： 十一季16集怎么这么久都不更新？有大神知道什么时候会更吗？ 	 链接：http://tieba.baidu.com//p/5557168017 	 发帖人：流下颠倒 	 发帖时间：2-19 	 回复数量： 13 
标题： 【TBBT】《生活大爆炸》发布第十一季第16集剧照！ 	 链接：http://tieba.baidu.com//p/5544697568 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 24 
标题： 重温了下第五季，突然发现小谢尔顿里谢尔顿的爹在生活大爆炸里客 	 链接：http://tieba.baidu.com//p/5559042447 	 发帖人：SylviaCJY 	 发帖时间：2-21 	 回复数量： 5 
标题： 看了这么久，觉得这一些人里面就莱纳德人品不行。 	 链接：http://tieba.baidu.com//p/3841146050 	 发帖人：火山冰点 	 发帖时间：2015-06 	 回复数量： 45 
标题： 闲来无事，重温生活大爆炸全集 	 链接：http://tieba.baidu.com//p/5500120678 	 发帖人：高清影视... 	 发帖时间：1-1 	 回复数量： 14 
标题： 总觉得伯纳黛特和霍华德更像夫妻 	 链接：http://tieba.baidu.com//p/5139544180 	 发帖人：二楼sabi 	 发帖时间：2017-05 	 回复数量： 11 
标题： 分享：有想要了解瘦身产品《一代女皇》可以扫二维码加下方微信 	 链接：http://tieba.baidu.com//p/5568191231 	 发帖人：眉俏那片情 	 发帖时间：2-27 	 回复数量： 0 
标题： 科恩纳石英石水槽怎么样，一千多价格的水槽质量真的可以吗？ 	 链接：http://tieba.baidu.com//p/5534198854 	 发帖人：哀伤的歌... 	 发帖时间：1-30 	 回复数量： 4 
标题： 卡罗德立式钢琴C2怎么样，音质真的很一般吗？ 	 链接：http://tieba.baidu.com//p/5547623685 	 发帖人：落幕的希... 	 发帖时间：2-10 	 回复数量： 4 
标题： 还有人记得谢耳朵鄙视霍华德是工程师 这是哪一集吗 	 链接：http://tieba.baidu.com//p/5566637420 	 发帖人：纪检年份瞻 	 发帖时间：2-26 	 回复数量： 3 
标题： 深藏不露！拉杰什居然是生活大爆炸中隐藏的富二代！ 	 链接：http://tieba.baidu.com//p/5380778905 	 发帖人：沐K拉哇 	 发帖时间：2017-10 	 回复数量： 15 
标题： 因为不是喜剧，是悲剧，就说小谢尔顿这部剧很难看？？ 	 链接：http://tieba.baidu.com//p/5499312808 	 发帖人：耳朵Moonpie 	 发帖时间：2017-12 	 回复数量： 29 
标题： 谢耳朵吃的麦片为什么没有卖的… 	 链接：http://tieba.baidu.com//p/5567625813 	 发帖人：loveswetty 	 发帖时间：2-26 	 回复数量： 0 
标题： 哈哈哈哈哈哈哈哈伯纳黛特的那个孩子 	 链接：http://tieba.baidu.com//p/4917358579 	 发帖人：D白恋 	 发帖时间：2016-12 	 回复数量： 0 
标题： #生活大爆炸#这可以做情头了有木有！！ 	 链接：http://tieba.baidu.com//p/5361196737 	 发帖人：JC教主公... 	 发帖时间：2017-10 	 回复数量： 0 
标题： 奥克斯 HX-PB835破壁机怎么样，可有说的那么靠谱 	 链接：http://tieba.baidu.com//p/5562313655 	 发帖人：逝去的人流 	 发帖时间：2-23 	 回复数量： 3 
标题： 求助 	 链接：http://tieba.baidu.com//p/5123475971 	 发帖人：罹晟睿 	 发帖时间：2017-05 	 回复数量： 4 
标题： 看看吧！为爱情公寓洗地的是如何发言 	 链接：http://tieba.baidu.com//p/5554755132 	 发帖人：轩辕一叶 	 发帖时间：2-17 	 回复数量： 11 
标题： 【生活大爆炸大神进来回答一下！】 	 链接：http://tieba.baidu.com//p/5563992850 	 发帖人：前排带我... 	 发帖时间：2-24 	 回复数量： 1 
标题： 谢尔顿用的电子琴是什么牌子的 	 链接：http://tieba.baidu.com//p/5563605326 	 发帖人：大胖萌 	 发帖时间：2-24 	 回复数量： 0 
标题： 开个帖，记录一下截屏的图，以后拿来发朋友圈 	 链接：http://tieba.baidu.com//p/5555207140 	 发帖人：bboystruggle 	 发帖时间：2-17 	 回复数量： 16 
标题： 居然看到了一个熟悉的面孔 	 链接：http://tieba.baidu.com//p/5560111185 	 发帖人：爱笑的deaths 	 发帖时间：2-22 	 回复数量： 12 
